Original,Furigana,English,Russian,JLPT Level
巧妙,こうみょう,"ingenious, skillful, clever","гениальный, умелый, умный",N1
公用,こうよう,"government business, public use, public expense","государственный бизнес, общественное пользование, государственные расходы",N1
小売,こうり,retail,розничная торговля,N1
効率,こうりつ,efficiency,эффективность,N1
公立,こうりつ,public institution,государственное учреждение,N1
護衛,ごえい,"guard, convoy, escort","охрана, конвой, сопровождение",N1
コーナー,コーナー,corner,угол,N1
小柄,こがら,"small, diminutive","маленький, миниатюрный",N1
小切手,こぎって,"cheque, check",чек,N1
国産,こくさん,domestic products,отечественная продукция,N1
国定,こくてい,"state-sponsored, national","государственный, национальный",N1
告白,こくはく,"confession, acknowledgment",признание,N1
国防,こくぼう,national defense,национальная оборона,N1
国有,こくゆう,national ownership,национальная собственность,N1
極楽,ごくらく,paradise,рай,N1
国連,こくれん,"U.N., United Nations","ООН, Организация Объединенных Наций",N1
焦げ茶,こげちゃ,dark brown,темно-коричневый,N1
語源,ごげん,"word root, word derivation, etymology","корень слова, словообразование, этимология",N1
心地,ここち,"feeling, sensation, mood","чувство, ощущение, настроение",N1
心得,こころえ,"knowledge, information","знания, информация",N1
心掛け,こころがけ,"readiness, intention, aim","готовность, намерение, цель",N1
心掛ける,こころがける,"to bear in mind, to aim to do","иметь в виду, стремиться сделать",N1
志,こころざし,"will, intention, motive","воля, намерение, мотив",N1
志す,こころざす,"to plan, to intend, to aspire to","планировать, намереваться, стремиться",N1
心強い,こころづよい,"heartening, reassuring",обнадеживающий,N1
心細い,こころぼそい,"helpless, hopeless, discouraging","беспомощный, безнадежный, обескураживающий",N1
試み,こころみ,"trial, experiment","испытание, эксперимент",N1
試みる,こころみる,"to try, to test","попробовать, проверить",N1
快い,こころよい,"pleasant, agreeable",приятный,N1
誤差,ごさ,error,ошибка,N1
ございます (かん),ございます (かん),"to be (polite, to exist)","быть (вежливым, существовать)",N1
孤児,こじ,orphan,сирота,N1
こじれる,こじれる,"to get complicated, to grow worse","усложняться, ухудшаться",N1
こす (みずを～),こす (みずを～),"to strain, to filter","процеживать, фильтровать",N1
梢,こずえ,treetop,верхушка дерева,N1
個性,こせい,"individuality, personality, idiosyncrasy","индивидуальность, личность, идиосинкразия",N1
戸籍,こせき,"census, family register","перепись, семейный регистр",N1
古代,こだい,ancient times,древние времена,N1
こたつ,こたつ,"table with heater, (originally) charcoal brazier in a floor well","стол с обогревателем, (первоначально) угольная жаровня в колодце в полу",N1
こだわる,こだわる,"to fuss over, to be particular about","суетиться, быть внимательным к",N1
誇張,こちょう,exaggeration,преувеличение,N1
こつ (をつかむ),こつ (をつかむ),"secret, trick, hang","секрет, трюк, повесить",N1
滑稽,こっけい,"funny, humorous, comical","смешной, юмористический, комичный",N1
国交,こっこう,diplomatic relations,дипломатические отношения,N1
骨董品,こっとうひん,curio,диковинка,N1
固定,こてい,"fixation, fixing (e.g., salary, capital)","фиксация, фиксация (например, зарплата, капитал)",N1
事柄,ことがら,"matter, thing, affair, circumstance","дело, вещь, обстоятельство",N1
孤独,こどく,"isolation, loneliness, solitude","изоляция, одиночество",N1
ことごとく,ことごとく,"altogether, entirely","вообще, целиком",N1
言付け,ことづけ,to leave a message,оставить сообщение,N1
殊に,ことに,"especially, above all","особенно, прежде всего",N1
粉々,こなごな,in very small pieces,очень маленькими кусочками,N1
好ましい,このましい,"nice, likable, desirable","хороший, приятный, желанный",N1
碁盤,ごばん,Go board,Перейти на доску,N1
個別,こべつ,particular case,частный случай,N1
ごまかす,ごまかす,"to deceive, to falsify, to misrepresent","обманывать, фальсифицировать, искажать",N1
細やか,こまやか,"meager, modest","скудный, скромный",N1
コマーシャル,コマーシャル,a commercial,рекламный ролик,N1
込める,こめる,"to include, to put into","включать, вносить в",N1
コメント,コメント,comment,комментарий,N1
籠もる,こもる,"to seclude oneself, to be confined in","уединиться, заключиться в",N1
固有,こゆう,"characteristic, tradition, peculiar","характерный, традиция, своеобразный",N1
暦,こよみ,"calendar, almanac","календарь, альманах",N1
凝らす,こらす,"to concentrate, to devote, to peer into","сосредоточиться, посвятить себя, вглядеться в",N1
ごらんなさい (かん),ごらんなさい (かん),"look, (please) try to do","смотри, (пожалуйста) попробуй сделать",N1
孤立,こりつ,"isolation, helplessness","изоляция, беспомощность",N1
懲りる,こりる,"to learn by experience, to be disgusted with","учиться на опыте, испытывать отвращение к",N1
凝る,こる,"to stiffen, to harden",затвердеть,N1
根気,こんき,"patience; perseverance, energy","терпение; настойчивость, энергия",N1
根拠,こんきょ,"basis, foundation","основа, фундамент",N1
混血,こんけつ,"mixed race, mixed parentage","смешанная раса, смешанное происхождение",N1
コンタクト (レンズ),コンタクト (レンズ),contact; contact lens,контакт; контактная линза,N1
昆虫,こんちゅう,"insect, bug","насекомое, ошибка",N1
根底,こんてい,"root, basis, foundation","корень, основа",N1
混同,こんどう,"confusion, mixing, merger","путаница, смешение, слияние",N1
コントラスト,コントラスト,contrast,контраст,N1
コントロール,コントロール,control,контроль,N1
コンパス,コンパス,compass,компас,N1
根本,こんぽん,"foundation, root, base","фундамент, корень, основа",N1
財,ざい,"fortune, riches","удача, богатство",N1
再会,さいかい,"meeting again, reunion","новая встреча, воссоединение",N1
災害,さいがい,"calamity, disaster, misfortune","бедствие, катастрофа, несчастье",N1
細菌,さいきん,"bacillus, bacterium, germ","бацилла, бактерия, микроб",N1
細工,さいく,"work, craftsmanship, trick","работа, мастерство, хитрость",N1
採掘,さいくつ,mining,добыча полезных ископаемых,N1
サイクル,サイクル,cycle,цикл,N1
採決,さいけつ,"vote, roll call","голосование, перекличка",N1
再建,さいけん,(temple or shrine) rebuilding,(храм или святилище) восстановление,N1
再現,さいげん,"reproduction, return, revival","воспроизводство, возвращение, возрождение",N1
財源,ざいげん,"source of funds, resources, finances","источник средств, ресурсов, финансов",N1
在庫,ざいこ,"stockpile, stock","склад, запас",N1
採算,さいさん,profit,выгода,N1
サイズ,サイズ,size,размер,N1
再生,さいせい,"playback, regeneration, resuscitation","воспроизведение, регенерация, реанимация",N1
財政,ざいせい,"economy, financial affairs","экономика, финансовые дела",N1
最善,さいぜん,the very best,самый лучший,N1
採択,さいたく,"adoption, selection, choice","принятие, отбор, выбор",N1
栽培,さいばい,cultivation,выращивание,N1
再発,さいはつ,"return, relapse, reoccurrence","возвращение, рецидив, повторение",N1
細胞,さいぼう,cell,клетка,N1
採用,さいよう,"use, adopt","использовать, принять",N1
遮る,さえぎる,"to interrupt, to intercept, to obstruct","прерывать, перехватывать, препятствовать",N1
さえずる,さえずる,"to sing, to chirp, to twitter","петь, щебетать",N1
冴える,さえる,"to be clear, to be bright, to be skillful","быть ясным, быть ярким, быть умелым",N1
竿,さお,"rod, pole (e.g., for drying laundry)","стержень, шест (например, для сушки белья)",N1
栄える,さかえる,"to flourish, to prosper, to thrive",процветать,N1
差額,さがく,"balance, difference, margin","баланс, разница, маржа",N1
杯,さかずき,wine cup,чашка вина,N1
逆立ち,さかだち,"handstand, headstand","стойка на руках, стойка на голове",N1
さきに (いぜん),さきに (いぜん),"before, earlier than, previously","прежде, раньше, прежде чем, ранее",N1
詐欺,さぎ,"fraud, swindle",мошенничество,N1
削減,さくげん,"cut, reduction",сокращение,N1
錯誤,さくご,mistake,ошибка,N1
作戦,さくせん,"military operations, tactics, strategy","военные действия, тактика, стратегия",N1
叫び,さけび,"shout, scream, outcry",крик,N1
捧げる,ささげる,"to lift up, to give, to offer","поднять, дать, предложить",N1
差し掛かる,さしかかる,"to come near to, to approach",приблизиться,N1
指図,さしず,"instruction, mandate","инструкция, мандат",N1
差し出す,さしだす,"to present, to submit, to hold out","представить, продержаться",N1
差し支える,さしつかえる,"to interfere, to hinder","мешать, препятствовать",N1
授ける,さずける,"to grant, to award, to teach","даровать, награждать, учить",N1
摩する,さする,"to rub, to stroke","тереть, гладить",N1
さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),"I am sure, certainly, no doubt","Я уверен, конечно, без сомнения",N1
定まる,さだまる,"to become settled, to be fixed","устроиться, закрепиться",N1
定める,さだめる,"to decide, to determine","решать, определять",N1
座談会,ざだんかい,"symposium, round-table discussion","симпозиум, круглый стол",N1
雑,ざつ,"rough, crude",грубый,N1
雑貨,ざっか,"miscellaneous goods, general goods","разные товары, товары общего назначения",N1
殺人,さつじん,murder,убийство,N1
察する,さっする,"to guess, to sense, to judge","догадываться, чувствовать, судить",N1
雑談,ざつだん,"chatting, idle talk","болтовня, пустословие",N1
さっと,さっと,"suddenly, smoothly","внезапно, плавно",N1
さっぱりする,さっぱりする,to refresh,обновить,N1
悟る,さとる,"to attain enlightenment, to understand","достичь просветления, понять",N1
最中,さなか,"in the middle of, midst","посреди, среди",N1
座標,ざひょう,coordinates,координаты,N1
さほど,さほど,"not so, not that much","не так, не так уж и много",N1
サボる,サボる,to cut (skip) classes; to loaf on the job; to idle away one's time,сокращать (пропускать) занятия; бездельничать на работе; бездельничать,N1
様,さま,state; way (a person does something); Mr. or Mrs.,состояние; способ (человек что-то делает); Мистер или миссис.,N1
寒気,さむけ,"chill, shiver, cold","холод, дрожь",N1
侍,さむらい,samurai,самурай,N1
さも,さも,"with gusto, with satisfaction","с удовольствием, с удовлетворением",N1
作用,さよう,"operation, effect, function","действие, эффект, функция",N1
さらう (こどもを～),さらう (こどもを～),to kidnap,похитить,N1
障る,さわる,"to hinder, to interfere with, to affect","препятствовать, мешать, влиять",N1
酸,さん,acid,кислота,N1
山岳,さんがく,mountains,горы,N1
参議院,さんぎいん,House of Councilors,Палата советников,N1
産休,さんきゅう,maternity leave,декретный отпуск,N1
サンキュー,サンキュー,thank you,Спасибо,N1
残金,ざんきん,remaining money,оставшиеся деньги,N1
産後,さんご,"postpartum, after childbirth","послеродовой период, после родов",N1
残酷,ざんこく,"cruelty, harshness","жестокость, резкость",N1
産出,さんしゅつ,"yield, produce","урожай, производить",N1
参照,さんしょう,"reference, consultation, consultation","справка, консультация",N1
参上,さんじょう,"calling on, visiting","звоню, посещаю",N1
残高,ざんだか,"(bank) balance, remainder","(банковский) баланс, остаток",N1
サンタクロース,サンタクロース,Santa Claus,Санта Клаус,N1
桟橋,さんばし,"wharf, jetty, pier","пристань, пирс",N1
賛美,さんび,"praise, adoration, glorification","хвала, поклонение, прославление",N1
山腹,さんぷく,"hillside, mountainside","склон холма, склон горы",N1
産婦人科,さんふじんか,maternity and gynecology department,отделение родовспоможения и гинекологии,N1
産物,さんぶつ,"product, result, fruit","продукт, результат, фрукт",N1
山脈,さんみゃく,mountain range,горный хребет,N1
仕上がり,しあがり,"finish, end, completion","окончание, конец, завершение",N1
仕上,しあげ,"end, finishing touches","конец, последние штрихи",N1
仕上げる,しあげる,"to finish up, to complete","закончить, завершить",N1
飼育,しいく,"breeding, raising, rearing","разведение, выращивание",N1
強いて,しいて,"to dare, to insist","осмелиться, настоять",N1
シート,シート,seat; sheet,сиденье; лист,N1
ジーパン,ジーパン,jeans,джинсы,N1
仕入れる,しいれる,"to lay in stock, to replenish stock, to procure","запасать, пополнять запасы, закупать",N1
強いる,しいる,"to force, to compel, to coerce",принуждать,N1
潮,しお,tide,прилив,N1
歯科,しか,dentistry,стоматология,N1
自我,じが,"self, ego","я, эго",N1
自覚,じかく,self-conscious,осознанный,N1
仕掛,しかけ,"device, trick, mechanism","приспособление, трюк, механизм",N1
仕掛ける,しかける,"to lay, to set, to wage","закладывать, ставить, вести",N1
しかしながら,しかしながら,"however, nevertheless","однако, тем не менее",N1
色彩,しきさい,color,цвет,N1
式場,しきじょう,"ceremonial hall, place of ceremony (e.g., marriage)","церемониальный зал, место церемонии (например, свадьбы)",N1
しきたり,しきたり,"custom, conventional practice, tradition","обычай, общепринятая практика, традиция",N1
事業,じぎょう,"project, enterprise, business","проект, предприятие, бизнес",N1
軽蔑,けいべつ,"scorn, disdain",презрение,N1
経歴,けいれき,"personal history, career","личная история, карьера",N1
経路,けいろ,"course, route, channel","курс, маршрут, канал",N1
けがらわしい,けがらわしい,"filthy, unfair","грязный, несправедливый",N1
劇団,げきだん,"troupe, theatrical company","труппа, театральная труппа",N1
激励,げきれい,encouragement,поощрение,N1
ゲスト,ゲスト,guest,гость,N1
獣,けだもの,"beast, brute","зверь, скотина",N1
決,けつ,"decision, vote","решение, голосование",N1
決意,けつい,"decision, determination","решение, решительность",N1
結核,けっかく,tuberculosis,туберкулез,N1
決議,けつぎ,"resolution, vote, decision","резолюция, голосование, решение",N1
結合,けつごう,"combination, union","сочетание, союз",N1
決算,けっさん,"balance sheet, settlement of accounts","баланс, расчеты",N1
月謝,げっしゃ,monthly tuition fee,ежемесячная плата за обучение,N1
決勝,けっしょう,finals (in sports),финал (в спорте),N1
結晶,けっしょう,"crystal, crystallization","кристалл, кристаллизация",N1
結成,けっせい,formation,формирование,N1
結束,けっそく,"union, unity","союз, единство",N1
げっそり,げっそり,"being disheartened, losing weight","расстраиваться, худеть",N1
決断,けつだん,"decision, determination","решение, решительность",N1
月賦,げっぷ,monthly installment,ежемесячный платеж,N1
欠乏,けつぼう,shortage,нехватка,N1
蹴飛ばす,けとばす,"to kick away, to kick (someone)","отшвырнуть, отшвырнуть (кого-либо)",N1
けなす,けなす,to speak ill of,говорить плохо о,N1
煙たい,けむたい,"smoky, feeling awkward","дымно, чувствую себя неловко",N1
煙る,けむる,"to smoke (e.g., fire)","курить (например, огонь)",N1
獣,けもの,"beast, brute","зверь, скотина",N1
家来,けらい,"retainer, retinue, servant","слуга, свита",N1
下痢,げり,diarrhea,диарея,N1
権威,けんい,"authority, power, influence","авторитет, власть, влияние",N1
兼業,けんぎょう,holding two jobs at the same time,работать на двух работах одновременно,N1
原形,げんけい,"original form, base form","исходная форма, базовая форма",N1
原型,げんけい,"prototype, model, archetypal","прототип, модель, архетип",N1
権限,けんげん,"power, authority, jurisdiction","власть, юрисдикция",N1
現行,げんこう,"present, current, in operation","настоящий, текущий, в действии",N1
健在,けんざい,"in good health, well","в добром здравии, ну",N1
原作,げんさく,original work,оригинальная работа,N1
検事,けんじ,public prosecutor,прокурор,N1
原子,げんし,atom,атом,N1
元首,げんしゅ,"ruler, sovereign","правитель, государь",N1
原書,げんしょ,original document,оригинал документа,N1
懸賞,けんしょう,"offering prizes, winning, reward","предложение призов, выигрыш, вознаграждение",N1
健全,けんぜん,"health, soundness, wholesome","здоровье, здоровый",N1
元素,げんそ,element,элемент,N1
同調,どうちょう,"sympathy, agree with, alignment","сочувствие, согласие",N1
到底,とうてい,(cannot) possibly,(не может) возможно,N1
動的,どうてき,"dynamic, kinetic","динамичный, кинетический",N1
尊い,とうとい,"precious, valuable, noble","драгоценный, ценный, благородный",N1
貴い,とうとい,"precious, valuable, noble","драгоценный, ценный, благородный",N1
同等,どうとう,"equality, equal, same rank","равенство, равный, одинаковый ранг",N1
堂々,どうどう,"magnificent, grand, impressive","великолепный, грандиозный, впечатляющий",N1
尊ぶ,とうとぶ,"to value, to prize, to esteem","ценить, уважать",N1
どうにか,どうにか,"in some way or other, one way or another",так или иначе,N1
投入,とうにゅう,"throw, investment, making (an electrical circuit)","бросить, вложить, сделать (электрическую цепь)",N1
導入,どうにゅう,"introduction, bringing in, leading in",введение,N1
当人,とうにん,"the one concerned, the said person","заинтересованное лицо, указанное лицо",N1
同封,どうふう,"enclosure (e.g., in a letter)","приложение (например, в письме)",N1
逃亡,とうぼう,escape,побег,N1
冬眠,とうみん,"hibernation, winter sleep","спячка, зимний сон",N1
同盟,どうめい,"alliance, union, league","альянс, союз, лига",N1
どうやら,どうやら,"it seems like, somehow or other","похоже, так или иначе",N1
動力,どうりょく,"power, motive power, dynamic force","мощность, движущая сила, динамическая сила",N1
登録,とうろく,"registration, register, record","регистрация, запись",N1
討論,とうろん,discussion; debate,обсуждение; дебаты,N1
遠ざかる,とおざかる,to go far off,уйти далеко,N1
遠回り,とおまわり,"detour, roundabout way","объезд, обходной путь",N1
トーン,トーン,tone,тон,N1
とかく,とかく,"anyhow, anyway, in any case",в любом случае,N1
とがめる,とがめる,"to blame, to rebuke","винить, упрекать",N1
時折,ときおり,sometimes,иногда,N1
とぎれる,とぎれる,"to pause, to be interrupted","делать паузу, быть прерванным",N1
研ぐ,とぐ,"to sharpen, to grind, to polish","точить, шлифовать, полировать",N1
特技,とくぎ,special talent; skill,особый талант; навык,N1
独裁,どくさい,"dictatorship, despotism","диктатура, деспотизм",N1
特産,とくさん,"specialty, special product","специальность, особый продукт",N1
独自,どくじ,"original, peculiar, characteristic","оригинальный, своеобразный, характерный",N1
特集,とくしゅう,"feature (e.g., newspaper, special edition, report)","особенность (например, газета, специальный выпуск, репортаж)",N1
独占,どくせん,monopoly,монополия,N1
独創,どくそう,originality,оригинальность,N1
得点,とくてん,"score, points made","счет, набранные очки",N1
特派,とくは,"send specially, special envoy","отправить специально, специального посланника",N1
特有,とくゆう,"characteristic (of, peculiar (to))","характерный (для, свойственный (для))",N1
とげ (をさす),とげ (をさす),thorn,шип,N1
遂げる,とげる,"to accomplish, to achieve, to carry out","осуществить, достичь",N1
～どころか,～どころか,"rather, far from","скорее, далеко от",N1
年頃,としごろ,"age, marriageable age, adolescence","возраст, брачный возраст, подростковый возраст",N1
戸締り,とじまり,"closing up, locking the doors","закрываясь, запирая двери",N1
途上,とじょう,"en/in route, half way","в пути, на полпути",N1
土台,どだい,"foundation, base, basis","фундамент, база, основа",N1
途絶える,とだえる,"to stop, to cease, to come to an end","остановиться, прекратиться, кончиться",N1
特許,とっきょ,"special permission, patent","специальное разрешение, патент",N1
特権,とっけん,"privilege, special right","привилегия, особое право",N1
とっさに,とっさに,at once,сразу,N1
突如,とつじょ,"suddenly, all of a sudden",внезапно,N1
とって,とって,"handle, grip, knob",ручка,N1
突破,とっぱ,"breaking through, breakthrough, penetration","прорыв, проникновение",N1
土手,どて,"embankment, bank","набережная, банк",N1
届,とどけ,"report, notification, registration","отчет, уведомление, регистрация",N1
滞る,とどこおる,"to stagnate, to be delayed","застаиваться, задерживаться",N1
整える,ととのえる,"to put in order, to arrange, to adjust; to get ready, to prepare; to raise money","приводить в порядок, упорядочивать, корректировать; готовиться, готовиться; собрать деньги",N1
止める,とどめる,"to end, to stop, to cease, to resign","закончить, прекратить, уйти в отставку",N1
唱える,となえる,"to recite, to chant, to call upon","читать, петь, призывать",N1
殿様,とのさま,feudal lord,феодал,N1
土俵,どひょう,arena,арена,N1
扉,とびら,"door, opening","дверь, открытие",N1
溝,どぶ,"ditch, drain, gap","канава, водосток, провал",N1
徒歩,とほ,"walking, going on foot","идти, идти пешком",N1
土木,どぼく,public works,общественные работы,N1
とぼける,とぼける,"to play dumb, to feign ignorance, to play innocent, to have a blank facial expression; to play the fool; to be in one's dotage","притворяться глупым, притворяться невежественным, притворяться невинным, иметь пустое выражение лица; валять дурака; быть в маразме",N1
乏しい,とぼしい,"meager, scarce, hard up, poor","скудный, бедный",N1
富,とみ,"wealth, fortune","богатство, удача",N1
富む,とむ,"to be rich, to become rich","быть богатым, стать богатым",N1
共稼ぎ,ともかせぎ,"working together, (husband and wife) earning a living together","работая вместе, (муж и жена) вместе зарабатываем на жизнь",N1
伴う,ともなう,"to accompany, to bring with","сопровождать, приносить с собой",N1
共働き,ともばたらき,dual income (husband and wife both working),двойной доход (муж и жена работают),N1
ドライ,ドライ,dry,сухой,N1
ドライクリーニング,ドライクリーニング,dry cleaning,химчистка,N1
ドライバー,ドライバー,"driver, screwdriver",отвертка,N1
ドライブイン,ドライブイン,drive in,въехать,N1
トラブル,トラブル,trouble (sometimes used as a verb),проблема (иногда используется как глагол),N1
トランジスター,トランジスター,transistor,транзистор,N1
とりあえず,とりあえず,"at once, first of all, for the time being","сразу, прежде всего, пока",N1
取扱,とりあつかい,"treatment, handling, management","лечение, обращение, управление",N1
取り扱う,とりあつかう,"to treat, to handle, to deal in","лечить, обращаться, иметь дело",N1
鳥居,とりい,Shinto shrine archway,Арка синтоистского храма,N1
取り替え,とりかえ,"swap, exchange",обменивать,N1
取り組む,とりくむ,"to tackle, to engage in a bout, to come to grips with","вступать в схватку, вступать в борьбу",N1
取締り,とりしまり,"control, crackdown, supervision","контроль, репрессии, надзор",N1
取り締まる,とりしまる,"to crack down, to control, to supervise","расправляться, контролировать",N1
取り調べる,とりしらべる,"to investigate, to examine",исследовать,N1
取り立てる,とりたてる,"to collect, to extort","собирать, вымогать",N1
取り次ぐ,とりつぐ,"to act as an agent for, to announce (someone), to convey (a message)","действовать как агент, объявлять (кого-то), передавать (сообщение)",N1
取り付ける,とりつける,"to furnish, to install; to get someone's agreement","обставить, установить; получить чье-то согласие",N1
取り除く,とりのぞく,"to remove, to take away, to set apart","убрать, отнять, отделить",N1
取引,とりひき,"transactions, dealings, business","сделки, бизнес",N1
取り巻く,とりまく,"to surround, to circle, to enclose",окружить,N1
取り混ぜる,とりまぜる,"to mix, to put together","смешивать, соединять",N1
取り戻す,とりもどす,"to take back, to regain",вернуть,N1
取り寄せる,とりよせる,"to order, to send away for","заказать, отправить за",N1
ドリル,ドリル,drill,сверлить,N1
副,とりわけ,"especially, above all","особенно, прежде всего",N1
とろける,とろける,melt; to be enchanted with,таять; быть очарованным,N1
鈍感,どんかん,"thickheadedness, stolidity","тупоумие, тупость",N1
とんだ,とんだ,"terrible, awful, serious, absolutely not","ужасно, серьёзно, абсолютно нет",N1
度忘れ,どわすれ,"lapse of memory, forget for a moment","провал памяти, забыться на мгновение",N1
問屋,とんや,wholesale store,оптовый магазин,N1
内閣,ないかく,"cabinet, (government)","кабинет, (правительство)",N1
乃至,ないし,"from...to, between...and, or","от... до, между... и или",N1
内緒,ないしょ,"secrecy, privacy, secret","тайна, конфиденциальность",N1
内心,ないしん,"innermost thoughts, real intention, inmost heart","сокровенные мысли, истинное намерение, сокровенное сердце",N1
内蔵,ないぞう,internal organ; built-in,внутренний орган; встроенный,N1
ナイター,ナイター,"game under lights (e.g., baseball), night game","игра при свете (например, бейсбол), ночная игра",N1
内部,ないぶ,"interior, inside, internal",внутренний,N1
内乱,ないらん,"civil war, domestic conflict","гражданская война, внутренний конфликт",N1
内陸,ないりく,inland,внутри страны,N1
苗,なえ,rice seedling,рассада риса,N1
なおさら,なおさら,"all the more, still less","тем более, еще меньше",N1
流し,ながし,sink,раковина,N1
長々,ながなが,"long, drawn-out, very long","длинный, затяжной, очень длинный",N1
中程,なかほど,"middle, midway","середина, на полпути",N1
渚,なぎさ,"water's edge, beach, shore","кромка воды, пляж, берег",N1
嘆く,なげく,"to sigh, to lament, to grieve","вздыхать, скорбеть",N1
投げ出す,なげだす,"to abandon, to throw out","оставить, выбросить",N1
仲人,なこうど,"go-between, matchmaker","посредник, сваха",N1
和やか,なごやか,"mild, calm, harmonious","мягкий, спокойный, гармоничный",N1
名残,なごり,"remains, traces, memory","останки, следы, память",N1
情け,なさけ,"sympathy, compassion","сочувствие, сострадание",N1
情無い,なさけない,"miserable, pitiable, shameful","несчастный, жалкий, позорный",N1
情深い,なさけぶかい,"tender-hearted, compassionate","нежный, сострадательный",N1
詰る,なじる,"to rebuke, to scold, to tell off","упрекать, ругать, отчитывать",N1
名高い,なだかい,"famous, celebrated, well-known","знаменитый, прославленный, известный",N1
雪崩,なだれ,avalanche,лавина,N1
懐く,なつく,to become emotionally attached,эмоционально привязаться,N1
名付ける,なづける,to name,назвать,N1
何気ない,なにげない,"casual, unconcerned","случайный, беззаботный",N1
なにとぞ,なにとぞ,"please, kindly, by all means","пожалуйста, любезно, во что бы то ни стало",N1
なにより,なにより,"most, best","самый, лучший",N1
ナプキン,ナプキン,napkin,салфетка,N1
名札,なふだ,"name plate, name tag",табличка с именем,N1
生臭い,なまぐさい,"smelling of fish or blood, fish or meat","запах рыбы или крови, рыбы или мяса",N1
生温い,なまぬるい,"lukewarm, halfhearted","вялый, половинчатый",N1
